,aweme_id,video_id,region,title,cover,origin_cover,play,wmplay,music,play_count,digg_count,comment_count,share_count,download_count,create_time,author_id,author_unique_id,author_nickname,author_avatar,music_info_id,music_info_title,music_info_play,music_info_cover,music_info_author,music_info_original,music_info_duration,music_info_album
0,v10044g50000c909lhjc77ue77b1lsi0,7079832619847863553,JO,#دوده #دودي #عبسي #الاردن🇯🇴 #شدو_حزامكم_خوات_😈 #نابلسي,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/8c0c55a07c734d9c8006e8a3c4aef158_1648401989?x-expires=1648645200&x-signature=q1nUQE%2F0wwKaJSvct7fyiEA6QBw%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/2018a7ad0237496f96c22bc60ad9f9af_1648401990~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=HqIHlbo6yGIG9Pq%2FgEMx%2FrzWAUo%3D,https://v16m-default.akamaized.net/73cfbef2fd172e4b60e52cdaab817b8b/624458f5/video/tos/alisg/tos-alisg-pve-0037c001/c16c8f036bea41b2b94f3a7fa03c4480/?a=0&br=2012&bt=1006&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3Y0Omg6Zms8PDMzODczNEApN2g8NDtnO2Q0NzkzZzY7aWdmaV80cjRnaS1gLS1kMS1zczNgLTRjMTMwYmExNl4zM2I6Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/cee3ebd5c7a8dad743487c8a9e298f02/624458f5/video/tos/alisg/tos-alisg-pve-0037c001/f38d6f4859614b2dad84a3af5512433a/?a=0&br=2054&bt=1027&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3Y0Omg6Zms8PDMzODczNEApNjUzODU0ZWU3NzY4Ojs6N2dmaV80cjRnaS1gLS1kMS1zc180XmA1NV4wXy1eMzQ1YV46Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tos-alisg-ve-2774/bbf0249403db4c2b97a96d23eb455f15,1205,63,2,1,0,1648401987,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,6842812724628441089,يالاردنية,https://sf16-sg-default.akamaized.net/obj/tos-alisg-ve-2774/bbf0249403db4c2b97a96d23eb455f15,https://p16-sg-default.akamaized.net/aweme/720x720/tos-alisg-v-2774/ab36a9ec540546a6a672469510f6d3fb.jpeg,,False,60,يالاردنية
0,v10044g50000c8tlthbc77u8883itur0,7078355602778443009,JO,#غسالة_الصحون #شدو_حزامكم_خوات_😈 #دوده #عبسي #نابلسي #الاردن🇯🇴,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/e198f651c09f4a65b1c5bec3b81310d3_1648058094?x-expires=1648645200&x-signature=LFfa0wupeW5O3gRxsVFLNlz86HA%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/69afa77003614e259420fc26757be0dd_1648058094~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=4BxXKO9ZWNAH5BzV27B6Vg28JAU%3D,https://v16m-default.akamaized.net/7f639bf2db93f59a03f23775f215ac52/624458de/video/tos/alisg/tos-alisg-pve-0037c001/009cb0548c7f458bae7164b0dd14e607/?a=0&br=4544&bt=2272&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3hsOzs6ZmtvOzMzODczNEApMzQ1OWdoNWUzNzU2O2g7OWdvcTA1cjRfcXFgLS1kMS1zc2A2Ly0zXzE2Y15jMi4zNTA6Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/0c6cc88556347d3535457fe0a79198aa/624458de/video/tos/alisg/tos-alisg-pve-0037c001/2206f73bd6ba44b78aa9a2aaa24aa928/?a=0&br=4358&bt=2179&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M3hsOzs6ZmtvOzMzODczNEApNTk4NDk1PDs8Nzs6Z2dlZWdvcTA1cjRfcXFgLS1kMS1zczQzMWItL14vMl5jYGBfNTI6Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7078355580934441729.mp3,4102,233,1,2,0,1648058092,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7078355600282815234,original sound - نابلسي の『3BS』,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7078355580934441729.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343.jpeg?x-expires=1648710000&x-signature=ozE63d1NX9anEnFXLF90WbKlvJY%3D,نابلسي の『3BS』,True,9,
0,v10044g50000c8tjv4jc77ubdond28g0,7078322072849501442,JO,#نابلسي #الاردن🇯🇴 #عبسي #دوده #شدو_حزامكم_خوات_😈 #غسالة_الصحون,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/0b39ab2e682a48de9073338fa0ed2077_1648050287?x-expires=1648645200&x-signature=%2BdFNeOOY%2BmqpDqiNxNtD43Xx7fc%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/561f7d972bc24f0c8e5a1501621159d7_1648050288~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=FB%2FjjTbKuB0wo%2Ft8G7PsNS3ZeVs%3D,https://v16m-default.akamaized.net/8c376f3accd4ab77ac0fc68fac2be4be/624458ec/video/tos/alisg/tos-alisg-pve-0037c001/1af1d8266d944ce59df305f0821c7800/?a=0&br=5894&bt=2947&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MztncmU6ZjdtOzMzODczNEApZ2k4NmQ6NGU2N2Q7ZjQ0M2dkL2thcjRnc3FgLS1kMS1zc2FgYGIzMjFgYl9hYWFiYGE6Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/5ece58c3ffe6cc713efba8a1b14bde39/624458ec/video/tos/alisg/tos-alisg-pve-0037c001/733203a379204d4985cb330db6cf5442/?a=0&br=5862&bt=2931&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MztncmU6ZjdtOzMzODczNEApNGVpOWg1MztmNzg8PDo8ZGdkL2thcjRnc3FgLS1kMS1zc2MuL2FfLjIzYF8wNi1hM2E6Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7078322070035843841.mp3,9116,372,2,0,0,1648050285,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7078322064528722690,original sound - نابلسي の『3BS』,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7078322070035843841.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343.jpeg?x-expires=1648710000&x-signature=ozE63d1NX9anEnFXLF90WbKlvJY%3D,نابلسي の『3BS』,True,23,
0,v10044g50000c8ro163c77ublkresj10,7077267418581585154,JO,#دوده #الاردن🇯🇴 #نابلسي #عبسي #جاايكم,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/e665fd655e5a45a8ab0cd5586dfef4bb_1647804731?x-expires=1648645200&x-signature=0Nao%2FgCZfP2PtLaf8uXyoJeBndo%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/d9717fb9429541e99add521d868c0adf_1647804731~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=o7ZCIBZRMFGkaAl52gNQVZm%2Fn5E%3D,https://v16m-default.akamaized.net/27c93b90bd4139f339c7787c2d21175c/624458f1/video/tos/alisg/tos-alisg-pve-0037c001/4db32f16682c44fd863e280f8c2dc04a/?a=0&br=1240&bt=620&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M21obmU6ZjlyOzMzODczNEApNDVoZDc3OTxkNzRmOjQ5OWcucG9pcjQwLm9gLS1kMS1zcy5jLjEtNDMxLjIwYC4vMF86Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/c4f0983d2fe521281e007529d9711f11/624458f1/video/tos/alisg/tos-alisg-pve-0037c001/9ce27ab7f5bf46208e6f5880921c9133/?a=0&br=1300&bt=650&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M21obmU6ZjlyOzMzODczNEApOjY5ODY5aTs4N2lpZjloO2cucG9pcjQwLm9gLS1kMS1zczMwMTM0NjQ1LS9jYi41MzY6Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7002857981721561858.mp3,4056,137,0,0,0,1647804730,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7002857990348966658,original sound - 6400  V8,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7002857981721561858.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/a6d63569f4b1941d9cdb046aa462cb6f.jpeg?x-expires=1648710000&x-signature=xPhM05kdEkHxdU1KoEKnbyr2l54%3D,6400  V8,True,30,
0,v10044g50000c8p2qtbc77u5ss1v5hu0,7075769198823083266,JO,#نابلسي #الاردن🇯🇴 #دوده,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/5aff821c12464abb8771041a1bd441f7_1647455900?x-expires=1648645200&x-signature=PYXKJhLjtJoBLXLSgVjyBY4HCzM%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/e7055c953d16456d8c2b98f2ed525fa1_1647455899~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=q8duMwOXtTAEQV1HiQ%2FQPyeY5MQ%3D,https://v16m-default.akamaized.net/6d18b051532a086d7efc442f0e6b0f9f/624458e5/video/tos/alisg/tos-alisg-pve-0037c001/cd2eb366ae3a4bdabcb061e720203c5c/?a=0&br=2012&bt=1006&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2t5djg6Znc1OzMzODczNEApZTpnNDxlNDs5N2g5N2U2O2dyMi5wcjRfbm1gLS1kMS1zczA1NDQzMjAtLmMvNDQ1Y2E6Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/7b1714daa2840c04acc0ff9f157a358e/624458e5/video/tos/alisg/tos-alisg-pve-0037c001/7204f68185ae4634a3a223e4b3884926/?a=0&br=2038&bt=1019&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2t5djg6Znc1OzMzODczNEApODQzOmc1Z2Q6N2RpMzM2Z2dyMi5wcjRfbm1gLS1kMS1zc2NhMmJeYDNjXzBeNC1hNjE6Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7002857981721561858.mp3,1356,98,0,0,0,1647455898,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7002857990348966658,original sound - 6400  V8,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7002857981721561858.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/a6d63569f4b1941d9cdb046aa462cb6f.jpeg?x-expires=1648710000&x-signature=xPhM05kdEkHxdU1KoEKnbyr2l54%3D,6400  V8,True,30,
0,v10044g50000c8kih4rc77u5tiq08c90,7073229419938172161,JO,,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ea450361c4834562abe541db39a42c8e_1646906196?x-expires=1648645200&x-signature=ZkWjmXmhd%2BTLvlmGH6WEbOoGyvI%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/aebc1d00d4584de5bd3d9246bc0f1fec_1646864564~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=Byt1dDCONkjJjJadZWxZtLoVEJI%3D,https://v16m-default.akamaized.net/2fc95e5aabba7dd2e0ce0816362b3743/624458e1/video/tos/alisg/tos-alisg-pve-0037c001/834c9a87b27b403ab92453f27952767a/?a=0&br=3550&bt=1775&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2YzbDg6ZjdsOzMzODczNEApOzc8O2Y4ZzwzN2ZlaTo0N2c2NW5xcjRvZWhgLS1kMS1zczJeYGNfNTAyLV40NS4xXy06Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/3ee739ac57a579ddc7400508471f1cb3/624458e1/video/tos/alisg/tos-alisg-pve-0037c001/dc331fa90bf64093bcd21f9409079b61/?a=0&br=3600&bt=1800&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2YzbDg6ZjdsOzMzODczNEApNmQ2OWZlOGVmNzk3OWc5O2c2NW5xcjRvZWhgLS1kMS1zc2EzMDVfMWJeMzNjX2M0Yy06Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7071319670967569154.mp3,1407,86,0,0,0,1646864561,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7071319676400569090,original sound - Musaab.Awaedy,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7071319670967569154.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/98db8df5998cdc9a057fc8f458ade616.jpeg?x-expires=1648710000&x-signature=DiFNzD%2Br%2BspwR5yDzGnxU7zHJqw%3D,Musaab.Awaedy,True,10,
0,v10044g50000c8ie5ljc77u5al0lj8dg,7072028098908212481,JO,#الاردن🇯🇴#شدو_حزامكم_خوات_😈 #جاايكم,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/ad6f1b9ee23746edbdf4eac699c4b97f_1646584857?x-expires=1648645200&x-signature=FR3qqzUh%2Fgrbf84vU3BaMuKafyI%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/8607fed05cb843dea7d57962eef0c300_1646584856~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=LKef4TRJj6BA4z32Gv0Z%2BhnLe5M%3D,https://v16m-default.akamaized.net/2d0fac909f52127b0ab0e94820526dc5/624458df/video/tos/alisg/tos-alisg-pve-0037c001/3f8b91bbfb354083ac5c6607186e8545/?a=0&br=3230&bt=1615&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajtvbzg6Zm9oOzMzODczNEApZGg0NjM8NTs8NzYzOztlaGdhZy1ecjRnMmZgLS1kMS1zcy4uNDM2NmAvLmAxXmExXmA6Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/0bc18a82f3fad77399461d2d2d2948a8/624458df/video/tos/alisg/tos-alisg-pve-0037c001/c5df8e9d8ed84c228b0cb44f7b21ff6a/?a=0&br=2694&bt=1347&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajtvbzg6Zm9oOzMzODczNEApZjpmPDw8O2RkNzk8Njk2PGdhZy1ecjRnMmZgLS1kMS1zczU1Xi9gNTRfYGBhYzQwLTY6Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7059109086654237441.mp3,8724,471,1,0,6,1646584855,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7059109091599338241,original sound - MILYAR GAMING,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7059109086654237441.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tiktok-obj/1695836763209730.jpeg?x-expires=1648710000&x-signature=nxUmysG5RnRhTKDS%2BPk%2BNhgKmjo%3D,MILYAR GAMING,True,24,
0,v10044g50000c8eg4sbc77u9m64u73v0,7069809702158290178,JO,#كاضم_الساهر #foryou #نابلسي,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/9d3677b79fa347198bde6d60de87d1a3_1646068346?x-expires=1648645200&x-signature=COvVeek%2Bmh2ko5U8pUb%2Fn4xi3yw%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/6fb311c89bdf4baf98884e555a0e60d8_1646068346~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=31Jy%2F4VlSOJY6jj%2BfnE7QvMxBHM%3D,https://v16m-default.akamaized.net/e0d172bb09c14bfbc5636a8afedad08c/624458fe/video/tos/alisg/tos-alisg-pve-0037c001/eb3e87bb0d13449eba5c62a55dc1cbd1/?a=0&br=530&bt=265&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzZ4OTw6ZnZqOzMzODczNEApOzU8OTYzNWU1NzdpNjczOGdzNDFqcjRfMWJgLS1kMS1zcy8vY18yMWA1NF80YjEuNS06Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/c231eeb5e38603246024e26ea503f594/624458fe/video/tos/alisg/tos-alisg-pve-0037c001/365e2b56a68e479aa6822ebb41ed4058/?a=0&br=586&bt=293&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=MzZ4OTw6ZnZqOzMzODczNEApPDhkaTw3Mzw0Nzo4NDk8M2dzNDFqcjRfMWJgLS1kMS1zc2JfMzAxYzRfNS4tNjU1NmE6Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7069809716460833538.mp3,255,13,0,0,2,1646068344,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7069809713206332161,original sound - نابلسي の『3BS』,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7069809716460833538.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343.jpeg?x-expires=1648710000&x-signature=ozE63d1NX9anEnFXLF90WbKlvJY%3D,نابلسي の『3BS』,True,41,
0,v10044g50000c8c634bc77u1v48g800g,7068507116457217282,JO,@3absi_151 @mix_151 #عبسي #نابلسي #ستريمر #نابلسي #مكس,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/68e497c533674c9fb25d5273982e921c_1645765265?x-expires=1648645200&x-signature=ctw%2Fq%2BF%2BjYhL9kKlR9BwmuJU8PE%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/09c9dbc35e6d4fcfbd50d610777bfe8e_1645765065~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=NBYt6lnTQ4x9OBUCt8lJMriNlgk%3D,https://v16m-default.akamaized.net/9c48e1c00f2b5cb0355d0c1641c5948a/624458de/video/tos/alisg/tos-alisg-pve-0037c001/4200990bb4a94da7b6a8f70669062b56/?a=0&br=3240&bt=1620&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajNqNzQ6Zjc5OzMzODczNEApNTM7PDg0O2VnNzQ3OGZkZmctNTVzcjRfMGBgLS1kMS1zc2JjNjQxLTNjMi0zLmIzLzE6Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/2e2d5a9837f34661a6cb9f6b054ce8d7/624458de/video/tos/alisg/tos-alisg-pve-0037c001/cd1f1d385b8742329bfea221acf1d395/?a=0&br=3294&bt=1647&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=ajNqNzQ6Zjc5OzMzODczNEApOzVnaWY5ZmRpNzM8NzM4aWctNTVzcjRfMGBgLS1kMS1zc2JgMTZhYTI2YWNeMzMxX146Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7068502468451142401.mp3,5125,305,1,0,0,1645765064,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7068507114355821313,original sound - نابلسي の『3BS』,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7068502468451142401.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343.jpeg?x-expires=1648710000&x-signature=ozE63d1NX9anEnFXLF90WbKlvJY%3D,نابلسي の『3BS』,True,9,
0,v10044g50000c8bt1ubc77u1cufklim0,7068348577126305025,JO,#اربد #1080p #نابلسي #الاردن🇯🇴 #ام_النمل,https://p16-sign-sg.tiktokcdn.com/obj/tos-alisg-p-0037/097b7170ef68415393c2bdc7f068a9e9_1645728151?x-expires=1648645200&x-signature=4g0H4PnlyVu3ax4wYt9wzSOWs1g%3D,https://p16-sign-sg.tiktokcdn.com/tos-alisg-p-0037/b336c2dcfe044724a0039280b555cd88_1645728150~tplv-tiktokx-360p.jpeg?x-expires=1648645200&x-signature=vWRraGGxZA94jaYQ9rMN5mXfaFc%3D,https://v16m-default.akamaized.net/351cc278e7f3d9eeb199f0f8936bde4d/624458e0/video/tos/alisg/tos-alisg-pve-0037c001/ebcf6bb0c284474ea3d72ac7e037a326/?a=0&br=4024&bt=2012&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=6&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2xueDQ6Znh3OzMzODczNEApNTZlNzZkOmU5NzM8aTg5PGdqaWNgcjRfLl9gLS1kMS1zcy1hMy8tMWMxNC4uM2E2YDA6Yw%3D%3D&vl=&vr=,https://v16m-default.akamaized.net/3daeee702e55817dfcb64928141ee911/624458e0/video/tos/alisg/tos-alisg-pve-0037c001/fef886b1d0a34917a0d71e5149d93d25/?a=0&br=3278&bt=1639&cd=0%7C0%7C0%7C0&ch=0&cr=0&cs=0&cv=1&dr=0&ds=3&er=&ft=sYQCv3zqnz7ThKImzDXq&l=202203300719170102450220150687B397&lr=all&mime_type=video_mp4&net=0&pl=0&qs=0&rc=M2xueDQ6Znh3OzMzODczNEApZTY1ZWZoZ2U8NzM0aWkzZGdqaWNgcjRfLl9gLS1kMS1zc2JfXl81Yy42MzNiMjFgYjU6Yw%3D%3D&vl=&vr=,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7067910451396741890.mp3,2631,189,1,4,9,1645728150,6610700789964881926,.nabulsi,نابلسي の『3BS』,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cc62142d31adaa891d4bce72cb6d5343~c5_300x300.jpeg?x-expires=1648710000&x-signature=M1YlTlrPSWYqJrhXpJLpQ9Sfa8o%3D,7067910450369514242,original sound - درع العرب ✪,https://sf16-sg-default.akamaized.net/obj/tiktok-obj/7067910451396741890.mp3,https://p16-sign-sg.tiktokcdn.com/aweme/1080x1080/tos-alisg-avt-0068/4ebe83b0f3ac28ee2c181f50154896bc.jpeg?x-expires=1648710000&x-signature=AFFRMs70y%2Bcdcyt%2BAJMyg45VK%2Bc%3D,درع العرب ✪,True,27,
